
     "string"     ;  "string"                 ; "number" ; "string";
    
# this is an example

     "0472826017" ;  "0x30343732413236303631" ; "10"     ; "0x281b060704000001010502a010300ea004020269aaa1060204010000ce" ;
     "0472826027" ;  "0x30343732423236303632" ; "10"     ; "0x281b060704000001010502a010300ea004020269aaa1060204010001ce" ;
     "0472826037" ;  "0x30343732433236303633" ; "10"     ; "0x281b060704000001010502a010300ea004020269aaa1060204010002ce" ;
     "0472826047" ;  "0x30343732443236303634" ; "10"     ; "0x281b060704000001010502a010300ea004020269aaa1060204010003ce" ;
     "0472826057" ;  "0x30343732453236303635" ; "10"     ; "0x281b060704000001010502a010300ea004020269aaa1060204010004ce" ;
     "0472826067" ;  "0x30343732463236303636" ; "10"     ; "0x281b060704000001010502a010300ea004020269aaa1060204010005ce" ;
     "0472826077" ;  "0x30343732473236303637" ; "10"     ; "0x281b060704000001010502a010300ea004020269aaa1060204010006ce" ;

# 0472826067

// end of file



